,plant_code,plant_name,material_number,material_name,uom,date,forecast_quantity,distribution_channel,uid,uuid,run_date,script_runtime
0,1020,Hyderabad,WC0000000000100002,coconut,EA,2022-12-27,1025.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
1,1020,Hyderabad,WC0000000000100002,coconut,EA,2022-12-28,1017.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
2,1020,Hyderabad,WC0000000000100002,coconut,EA,2022-12-29,1053.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
3,1020,Hyderabad,WC0000000000100002,coconut,EA,2022-12-30,1105.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
4,1020,Hyderabad,WC0000000000100002,coconut,EA,2022-12-31,1120.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
5,1020,Hyderabad,WC0000000000100002,coconut,EA,2023-01-01,1116.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
6,1020,Hyderabad,WC0000000000100002,coconut,EA,2023-01-02,1098.0,50,1020_WC0000000000100002,1020_WC0000000000100002_50,2023-01-02,0.5940428535143535
